product_brand, product_name, product_shipping
EVGA GeForce RTX 2060 KO GAMING Video Card| 06G-P4-2066-KR| 6GB GDDR6| Dual Fans| Metal Backplate,EVGA,$3.99 Shipping
GIGABYTE Radeon RX 5700 XT GAMING OC 8G Graphics Card| GV-R57XTGAMING OC-8GD,GIGABYTE,Free Shipping
ASUS ROG Strix Radeon RX 5700 XT ROG-STRIX-RX5700XT-O8G-GAMING Video Card,ASUS,Free Shipping
MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card,MSI,Free Shipping
SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL Video Card,Sapphire Tech,$3.99 Shipping
EVGA GeForce GTX 1660 XC GAMING| 06G-P4-1163-KR| 6GB GDDR5| HDB Fan,EVGA,Free Shipping
ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 8G OC Video Card,ASRock,$3.99 Shipping
ASUS TUF Gaming X3 GeForce GTX 1660 SUPER DirectX 12 TUF 3-GTX1660S-O6G-GAMING Video Card,ASUS,$4.99 Shipping
GIGABYTE Radeon RX 5700 XT DirectX 12 GV-R57XTGAMING-8GD Video Card,GIGABYTE,Free Shipping
XFX Radeon RX 5600 XT RX-56XT6DF46 Video Card THICC II PRO-14GBPS 6GB BOOST UP TO 1620M D6  3xDP HDMI,XFX,Free Shipping
SAPPHIRE PULSE Radeon RX 5500 XT DirectX 12 100418P4GL Video Card,Sapphire Tech,$3.99 Shipping
ASRock Challenger D Radeon RX 5500 XT DirectX 12 RX5500XT CLD 4GO Video Card,ASRock,Free Shipping
